record_date,market,status,prefecture,ward,building_name,area_sqm,amount_yen,source_url,verified_on,rights_confirmed,layout,station,walk_minutes,is_synthetic
2023-05-15,rental,listing,Tokyo,Minato,合成示例1LDK,54.0,280000,https://example.com/synthetic/1ldk-r-202305,2026-08-23,yes,1LDK,Shinbashi,8,yes
2024-06-15,rental,listing,Tokyo,Minato,合成示例1LDK,55.0,305000,https://example.com/synthetic/1ldk-r-202406,2026-08-23,yes,1LDK,Shinbashi,8,yes
2025-08-15,rental,listing,Tokyo,Minato,合成示例1LDK,56.0,330000,https://example.com/synthetic/1ldk-r-202508,2026-08-23,yes,1LDK,Shinbashi,8,yes
2023-09-15,sale,closed,Tokyo,Minato,合成示例1LDK,54.0,132000000,https://example.com/synthetic/1ldk-s-202309,2026-08-23,yes,1LDK,Shinbashi,8,yes
2024-10-15,sale,closed,Tokyo,Minato,合成示例1LDK,55.0,145000000,https://example.com/synthetic/1ldk-s-202410,2026-08-23,yes,1LDK,Shinbashi,8,yes
2025-11-15,sale,closed,Tokyo,Minato,合成示例1LDK,56.0,158000000,https://example.com/synthetic/1ldk-s-202511,2026-08-23,yes,1LDK,Shinbashi,8,yes
2023-05-16,rental,listing,Tokyo,Minato,合成示例2LDK,70.0,360000,https://example.com/synthetic/2ldk-r-202305,2026-08-23,yes,2LDK,Tamachi,7,yes
2024-06-16,rental,listing,Tokyo,Minato,合成示例2LDK,72.0,395000,https://example.com/synthetic/2ldk-r-202406,2026-08-23,yes,2LDK,Tamachi,7,yes
2025-08-16,rental,listing,Tokyo,Minato,合成示例2LDK,74.0,430000,https://example.com/synthetic/2ldk-r-202508,2026-08-23,yes,2LDK,Tamachi,7,yes
2023-09-16,sale,closed,Tokyo,Minato,合成示例2LDK,70.0,168000000,https://example.com/synthetic/2ldk-s-202309,2026-08-23,yes,2LDK,Tamachi,7,yes
2024-10-16,sale,closed,Tokyo,Minato,合成示例2LDK,72.0,185000000,https://example.com/synthetic/2ldk-s-202410,2026-08-23,yes,2LDK,Tamachi,7,yes
2025-11-16,sale,closed,Tokyo,Minato,合成示例2LDK,74.0,203000000,https://example.com/synthetic/2ldk-s-202511,2026-08-23,yes,2LDK,Tamachi,7,yes
2023-05-17,rental,listing,Tokyo,Minato,合成示例3LDK,88.0,450000,https://example.com/synthetic/3ldk-r-202305,2026-08-23,yes,3LDK,Azabu-juban,9,yes
2024-06-17,rental,listing,Tokyo,Minato,合成示例3LDK,90.0,490000,https://example.com/synthetic/3ldk-r-202406,2026-08-23,yes,3LDK,Azabu-juban,9,yes
2025-08-17,rental,listing,Tokyo,Minato,合成示例3LDK,92.0,535000,https://example.com/synthetic/3ldk-r-202508,2026-08-23,yes,3LDK,Azabu-juban,9,yes
2023-09-17,sale,closed,Tokyo,Minato,合成示例3LDK,88.0,205000000,https://example.com/synthetic/3ldk-s-202309,2026-08-23,yes,3LDK,Azabu-juban,9,yes
2024-10-17,sale,closed,Tokyo,Minato,合成示例3LDK,90.0,226000000,https://example.com/synthetic/3ldk-s-202410,2026-08-23,yes,3LDK,Azabu-juban,9,yes
2025-11-17,sale,closed,Tokyo,Minato,合成示例3LDK,92.0,248000000,https://example.com/synthetic/3ldk-s-202511,2026-08-23,yes,3LDK,Azabu-juban,9,yes
